Index,Plaza Code,Plaza Name,"Concessio naire
Type",Plaza Type,Plaza Sub Typ,Sate,City,Concessionaire,Geo Codes,Longitude,Latitudes,,
119,350047,Baloh Toll Paza,PF,TOLL,NATIONAL,Himachal Pradesh,Baloh,"M/S Gawar
Kiratpur Pvt Ltd",31.42038 76.7983,31.42038,76.7983,,
120,536006,"Bamanbore
TOLL PLAZA",PF,TOLL,STATE,Gujarat,"Surendranag
ar",PWD Rajkot,"22.4097,71.0155",22.4097,71.0155,,
121,520035,"Bamhori Kumari
Toll Plaza",PF,TOLL,NATIONAL,Uttar Pradesh,Mahoba,NHAI,"25.357245, 79.427843",25.357245,79.427843,,
122,312066,Bamla Toll Plaza,PF,TOLL,NATIONAL,Haryana,Bhiwani,NHAI,"28.804800, 76.223200",28.8048,76.2232,,
123,375019,Banajodi,PF,TOLL,NATIONAL,Odisha,Keonjhar,"SAI MAATARINI
TOLLWAYS","21.7096842,85.5834615",21.7096842,85.5834615,,
124,556055,Banda Km 50,Conc.,TOLL,STATE,Uttar Pradesh,Banda,UPEIDA,"25.5275,80.4036",25.5275,80.4036,,
125,352045,Bandapalli,PF,TOLL,NATIONAL,Andhra Pradesh,Rayachoti,NHAI,"14.131169,78.756820",14.131169,78.75682,,
126,352063,"Bandlapalli Toll
Plaza",PF,TOLL,NATIONAL,Andhra Pradesh,Bandlapalli,NHAI,"13.336395, 78.612892",13.336395,78.612892,,
127,556046,Baneti Toll Plaza,Conc.,TOLL,STATE,Karnataka,Sandur,"Madarasab
Singanamalli","15.1520743,76.6083795",15.1520743,76.6083795,,
128,116001,"Banglaore-
Nelamangala",Conc.,TOLL,NATIONAL,Karnataka,"Bangalore
Rural",Navayuga,"13.090678,77.399788",13.090678,77.399788,,
129,356016,Bankapur,PF,TOLL,NATIONAL,Karnataka,Haveri,NHAI,"14.90999,75.2798",14.90999,75.2798,,
130,318004,Bann Toll Plaza,PF,TOLL,NATIONAL,Jammu & Kashmir,Udhampur,"Rakesh Kumar
Choudhary","32.838928,74.940536",32.838928,74.940536,,
