ReadDateTime,merchantId,PV,FV,Total
2023-10-31,545035,13783,5003,18786
2023-11-30,545035,15115,3983,19098
2023-12-31,545035,17496,5093,22589
2024-01-31,545035,16102,4200,20302
2024-02-29,545035,17061,4379,21440
2024-03-31,545035,13901,4166,18067
2024-04-30,545035,14125,4424,18549
2024-05-31,545035,15320,4791,20111
2023-05-31,545038,59,23,82
2023-06-30,545038,34946,36851,71797
2023-07-31,545038,25942,33253,59195
2023-08-31,545038,25160,27519,52679
2023-09-30,545038,24442,23013,47455
2023-10-31,545038,27668,26661,54329
2023-11-30,545038,23310,26957,50267
2023-12-31,545038,26368,33753,60121
2024-01-31,545038,23329,32947,56276
2024-02-29,545038,25888,39464,65352
2024-03-31,545038,26252,41479,67731
2024-04-30,545038,24900,36766,61666
2024-05-31,545038,22592,43434,66026
2023-05-31,545034,1,0,1
2023-06-30,545034,9528,2915,12443
2023-07-31,545034,8377,2159,10536
2023-08-31,545034,9717,2115,11832
2023-09-30,545034,7580,1668,9248
2023-10-31,545034,8291,2657,10948
2023-11-30,545034,9888,2187,12075
2023-12-31,545034,10515,2121,12636
2024-01-31,545034,10239,2253,12492
2024-02-29,545034,11259,2574,13833
2024-03-31,545034,10927,3281,14208
2024-04-30,545034,10548,2825,13373
2024-05-31,545034,10887,2652,13539
2023-05-31,545039,133,9,142
2023-06-30,545039,247186,24922,272108
2023-07-31,545039,170541,22101,192642
2023-08-31,545039,176205,27141,203346
2023-09-30,545039,175578,25773,201351
2023-10-31,545039,196106,31248,227354
2023-11-30,545039,198384,24076,222460
2023-12-31,545039,273532,28754,302286
2024-01-31,545039,257316,28297,285613
2024-02-29,545039,289510,33806,323316
2024-03-31,545039,276898,39072,315970
2024-04-30,545039,271842,34662,306504
2024-05-31,545039,295588,35631,331219
2023-05-31,545037,263,341,604
2023-06-30,545037,30594,14191,44785
2023-07-31,545037,27484,11864,39348
2023-08-31,545037,28842,12833,41675
2023-09-30,545037,25975,9895,35870
2023-10-31,545037,28980,13625,42605
2023-11-30,545037,26295,11693,37988
2023-12-31,545037,31428,15000,46428
2024-01-31,545037,25217,11796,37013
2024-02-29,545037,34246,16087,50333
2024-03-31,545037,20694,10302,30996
2024-04-30,545037,35884,17443,53327
2024-05-31,545037,17250,9771,27021
2023-05-31,550004,34,3,37
2023-06-30,550004,98975,13897,112872
2023-07-31,550004,97102,12175,109277
2023-08-31,550004,103670,14381,118051
2023-09-30,550004,93006,12205,105211
2023-10-31,550004,90301,13795,104096
2023-11-30,550004,81902,11645,93547
2023-12-31,550004,89659,13885,103544
2024-01-31,550004,80044,13464,93508
2024-02-29,550004,85542,14325,99867
2024-03-31,550004,86967,15440,102407
2024-04-30,550004,88892,12939,101831
2024-05-31,550004,87626,12985,100611
2023-05-31,545110,8,3,11
2023-06-30,545110,19993,14269,34262
2023-07-31,545110,17849,16025,33874
2023-08-31,545110,16706,14403,31109
2023-09-30,545110,15390,13262,28652
2023-10-31,545110,23935,14328,38263
2023-11-30,545110,22478,12985,35463
2023-12-31,545110,23206,16200,39406
2024-01-31,545110,18914,17376,36290
2024-02-29,545110,17526,17462,34988
2024-03-31,545110,19644,20309,39953
2024-04-30,545110,19597,18982,38579
2024-05-31,545110,23022,21633,44655
2023-05-31,550002,42,4,46
2023-06-30,550002,94391,17967,112358
2023-07-31,550002,87128,14203,101331
2023-08-31,550002,104551,20526,125077
2023-09-30,550002,93976,16330,110306
2023-10-31,550002,98962,21015,119977
2023-11-30,550002,104849,20964,125813
2023-12-31,550002,117336,20879,138215
2024-01-31,550002,104658,19594,124252
2024-02-29,550002,117415,21715,139130
2024-03-31,550002,120588,24851,145439
2024-04-30,550002,118008,22712,140720
2024-05-31,550002,114537,19240,133777
2023-05-31,550003,120,57,177
2023-06-30,550003,309758,127973,437731
2023-07-31,550003,303802,124268,428070
2023-08-31,550003,322728,135460,458188
2023-09-30,550003,291720,114959,406679
2023-10-31,550003,316068,130998,447066
2023-11-30,550003,313499,123531,437030
2023-12-31,550003,353058,134506,487564
2024-01-31,550003,325278,127847,453125
2024-02-29,550003,338464,135308,473772
2024-03-31,550003,340408,148670,489078
2024-04-30,550003,341273,133559,474832
2024-05-31,550003,357797,134029,491826
2023-05-31,545111,2,0,2
2023-06-30,545111,35080,7116,42196
2023-07-31,545111,29431,7633,37064
2023-08-31,545111,29363,7557,36920
2023-09-30,545111,27221,7214,34435
2023-10-31,545111,31793,8566,40359
2023-11-30,545111,30188,8833,39021
2023-12-31,545111,35113,9642,44755
2024-01-31,545111,33710,9797,43507
2024-02-29,545111,34250,9259,43509
2024-03-31,545111,34021,9334,43355
2024-04-30,545111,35222,10619,45841
2024-05-31,545111,35145,9237,44382
2023-05-31,550001,111,7,118
2023-06-30,550001,237654,14241,251895
2023-07-31,550001,230445,13274,243719
2023-08-31,550001,247497,16886,264383
2023-09-30,550001,212275,16120,228395
2023-10-31,550001,224906,19697,244603
2023-11-30,550001,225752,16271,242023
2023-12-31,550001,248974,17789,266763
2024-01-31,550001,222459,14522,236981
2024-02-29,550001,234207,16170,250377
2024-03-31,550001,234936,16840,251776
2024-04-30,550001,228659,13514,242173
2024-05-31,550001,232469,13836,246305
2023-05-31,2010,424,232,656
2023-06-30,2010,158274,50592,208866
2023-07-31,2010,146066,51625,197691
2023-08-31,2010,163427,54892,218319
2023-09-30,2010,144556,50586,195142
2023-10-31,2010,167064,57504,224568
2023-11-30,2010,208529,47409,255938
2023-12-31,2010,208307,57868,266175
2024-01-31,2010,188711,56052,244763
2024-02-29,2010,190140,60958,251098
2024-03-31,2010,179381,61665,241046
2024-04-30,2010,176553,57346,233899
2024-05-31,2010,203545,58591,262136
2023-05-31,2007,196,45,241
2023-06-30,2007,74756,19578,94334
2023-07-31,2007,74946,21540,96486
2023-08-31,2007,84202,27048,111250
2023-09-30,2007,69866,26791,96657
2023-10-31,2007,78542,31372,109914
2023-11-30,2007,89864,23495,113359
2023-12-31,2007,99639,30980,130619
2024-01-31,2007,96457,26797,123254
2024-02-29,2007,93038,16379,109417
2024-03-31,2007,85106,16566,101672
2024-04-30,2007,78785,10949,89734
2024-05-31,2007,89813,13143,102956
2023-05-31,2005,969,89,1058
2023-06-30,2005,226327,10687,237014
