City,MSE,R²,Dew_Point_Coeff,Humidity_Coeff,Intercept
Jammu,1.9880299277560491,0.9708870067761579,1.0163981205110955,-0.2895521806239719,26.446019395282057
Hindupur,3.134668373772067,0.8687808887859663,0.7787703336933199,-0.29354846884426233,30.94047381933792
Dwarka,1.1157380271740114,0.917898686677347,1.004115744298544,-0.2818626607680692,26.21747460637476
Jajpur,1.3095160752597685,0.9552502370988937,1.0202759358839624,-0.27894357843642614,25.906070200824335
Bellary,3.4060625761193113,0.8393733501247406,0.8099171591714746,-0.3134927015884261,31.687204061833274
Jhansi,3.6044893429292255,0.93582764092317,0.9780715940166399,-0.3107160704821756,28.83693643080151
Akola,2.295203437607113,0.9262890320490212,1.0357106775197016,-0.3184658723482143,28.17266344024138
Barnala,2.7158638214448065,0.9647411179297505,0.9555274849630498,-0.2902637449058223,27.8305295196719
Datia,3.6675092556967677,0.9368310202727803,0.9676906509924463,-0.3071792891478468,28.78954571828372
Osmanabad,2.8934525161227023,0.8603132555809754,0.9953848102484393,-0.3181258123094019,28.769070242435756
Patiala,2.0958267229561596,0.9697136979373981,0.9733016813291225,-0.28269485720802107,26.997945265228083
Panna,2.003019454739194,0.9530101800323497,1.0423767059475206,-0.29600820380749526,26.6197902815107
Guntur,1.5421007586420192,0.9301568919402257,0.8090522439199355,-0.27324046742781416,30.161425775325068
Pitlam,1.886473709832763,0.9154095004521977,1.0030184673627551,-0.31109308077210684,28.077345381419743
Ajmer,4.779363986361024,0.9007968060739575,1.017876202799073,-0.32468576431363255,28.72421344592728
Bhavnagar,2.375055303826962,0.9001606747169029,1.0366950315113528,-0.3201943188786795,28.032850197869532
Pudukkottai,0.8874563377677379,0.9523846994219689,0.8668886499125799,-0.266154142766225,28.27217162157181
Agra,2.632755690620095,0.9588576270410447,0.9676227604897393,-0.29601466584789293,28.004838630954126
