Index,City,Geo Codes,Longitude,Latitudes,Road Width (pixels),Road Width (m),2023,2024
67,Chennai,"12.1239228,79.9107642",12.1239228,79.9107642,766,48.23,2.494166613,1.916363597
68,Arambha,"20.553225,78.971649",20.553225,78.971649,793,50.14,1,1
69,Thane,"19.361481,73.165874",19.361481,73.165874,856,54.59,13.72666645,15.74727249
70,Bhilwara,"25.091152,75.198814",25.091152,75.198814,722,45.12,9.950833321,12.58363628
71,Supaul,"26.297778,86.632891",26.297778,86.632891,801,50.71,3.404999971,3.419090986
72,Ausa,"18.1278333,76.3583021",18.1278333,76.3583021,614,37.49,4.739166737,2.898181915
73,Ashta,"18.470159, 76.751146",18.470159,76.751146,795,50.28,1,6.690000057
74,,,,,,,6.81916666,7.800909042
75,Sultanpur,"26.301062,81.9459196",26.301062,81.9459196,655,40.39,5.072500229,4.916363716
76,,,,,,,1,1.011818171
77,"Kanchipura
m","12.346862,79.779856",12.346862,79.779856,640,39.33,4.943333149,4.355454445
78,Lalganj,"24.960572,82.276151",24.960572,82.276151,696,43.29,2.050833225,2.084545374
79,"Bangalore
Urban","12.776883,77.777119",12.776883,77.777119,653,40.25,37.17666626,32.1427269
80,Banda,"25.4913,80.4700",25.4913,80.47,610,37.21,7.465000153,11.63727283
81,Patna,"25.498322, 84.488333",25.498322,84.488333,791,50,10.13249969,7.799090862
82,Jhansi,"25.216966,78.464471",25.216966,78.464471,804,50.92,6.047500134,5.398181915
83,Balachaur,"31.0114039,76.3898170",31.0114039,76.389817,765,48.16,7.658333302,6.840000153
84,Balrampur,"27.5055780,82.3748240",27.505578,82.374824,794,50.21,3.108333349,2.50363636
85,,,,,,,1,1.011818171
86,Faridabad,"28.476208,77.305485",28.476208,77.305485,787,49.72,48.60833359,51.02545547
87,Fatehpur,"26.065386,80.657641",26.065386,80.657641,851,54.24,16.19416618,28.66909027
88,Mylavaram,"16.8503326,80.6335241",16.8503326,80.6335241,884,56.57,1.231666684,1
89,,,,,,,2.75,2.724545479
90,,,,,,,1.225833297,1.326363683
91,Khandwa,"21.298056,76.321111",21.298056,76.321111,823,52.26,1.102499962,1.076363683
92,Shahganj,"22.879111,77.830472",22.879111,77.830472,636,39.05,1.463333368,1.433636427
93,Pushkar,"26.5475364,74.5069619",26.5475364,74.5069619,713,44.49,1.990833282,2.030909061
94,Dausa,"26.527359, 76.250052",26.527359,76.250052,869,55.51,32.0008316,26.75727272
95,,,,,,,5.965833187,6.337272644
96,Bado patti,"29.298647,75.8199341",29.298647,75.8199341,740,46.4,7.122499943,7.410909176
97,Beawar,"25.8843501,74.1608431",25.8843501,74.1608431,603,36.71,1.514166713,1.519090891
98,Dausa,"26.431950, 76.373506",26.43195,76.373506,694,43.14,2.339999914,3.24727273
99,Chikballapur,"13.79295,77.764358",13.79295,77.764358,722,45.12,5.804166794,5.109090805
100,Gomti,"25.5903343,73.9028527",25.5903343,73.9028527,745,46.75,2.085833311,2.461818218
101,Ahmedabad,"22.6307,72.1793",22.6307,72.1793,745,46.75,8.388333321,8.892726898
102,Sehore,"22.781523,77.733774",22.781523,77.733774,733,45.9,8.461667061,7.455454826
103,Alwar,"27.527300, 76.716900",27.5273,76.7169,612,37.35,6.366666794,6.102727413
104,HARDA,"22.315154, 77.250122",22.315154,77.250122,835,53.11,3.918333292,8.825454712
105,Jabalpur,"23.04675,79.9073666",23.04675,79.9073666,649,39.96,3.983333349,4.536363602
106,Bahri,"29.485337, 76.512439",29.485337,76.512439,806,51.06,15.39999962,9.642726898
107,Bainsi,"29.026614, 76.399856",29.026614,76.399856,819,51.98,9.88583374,12.85545444
108,Sultanpur,"26.054337 ,82.339392",26.054337,82.339392,891,57.07,5.208333492,9.752727509
109,Mathura,"27.883269, 77.666004",27.883269,77.666004,665,41.1,3.619999886,9.161818504
110,Guna,"24.575655,77.286901",24.575655,77.286901,830,52.76,2.848333359,2.447272778
